1,2
1,3
1,4
2,5
3,6
2,7
4,8
5,9
3,10
6,11
1,12
1,13
1,14
1,15
1,16
2,17
2,18
2,19
2,20
2,21
3,22
3,23
3,24
3,25
3,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
6,53
6,54
6,55
6,56
6,57
6,58
7,59
7,60
12,16
12,15
15,16
13,12
17,20
18,21
18,19
22,26
23,25
22,24
25,26
27,37
33,34
27,19
32,33
35,36
38,51
40,52
44,47
38,46
46,48
53,59
54,57
55,57
59,55
